Name,Type,Personality,Energy-Level,Good-With-Children,Good-With-Other-Dogs,Shedding, Grooming,Tranability,Height,Weight,Life-Expectancy,Barking-Level,Summary-Energy,Summary-Size
Bearded Collie,Herding Group,"Bouncy, charismatic, friendly; smart, but also stubborn and independent","Very Active; Beardies are energetic, boisterous dogs who love outdoor exercise in all weather",Yes,Yes,Seasonal,Weekly,Independent,"21-22 inches (male), 20-21 inches (female)",45-55 pounds,12-14 years,Likes To Be Vocal,medium energy,medium size
Beauceron,Herding Group,"Smart, obedient, gentle; reserved with strangers, loving and eager to please with preferred humans","Very Active; Powerful, athletic, and very clever, Beaucerons needs lot of physical and mental challenges",Better with Supervision,With Supervision,Frequent,Weekly,Responds Well,"25.5-27.5 inches (male), 24-26.5 inches (female)",70-110 pounds,10-12 years,Barks When Necessary,high energy,large size
Bedlington Terrier,Terrier Group,"Rollicking, charming, and full of fun; a loyal member of the family",Very Active; Bedlingtons combine terrier energy with the sprinting ability of small coursing hounds,Better with Supervision,With Supervision,"Infrequent, Hypoallergenic",Weekly,Responds Well,"16.0-17.5 inches (male), 15-16.5 inches (female)",17-23 pounds,11-16 years,Barks When Necessary,medium energy,medium size
Belgian Laekenois,Miscellaneous,"Rollicking, charming, and full of fun; a loyal member of the family",Very Active; Bedlingtons combine terrier energy with the sprinting ability of small coursing hounds,Better with Supervision,With Supervision,"Infrequent, Hypoallergenic",Weekly,Responds Well,"16.0-17.5 inches (male), 15-16.5 inches (female)",17-23 pounds,11-16 years,Barks When Necessary,high energy,large size
Belgian Malinois,Herding Group,"Smart, confident, hardworking, and steadfastly loyal",Very Active; A high-energy worker who demands plenty of exercise,Better with Supervision,With Supervision,Seasonal,Occasional,Eager To Please,"24-26 inches (male), 22-24 inches (female)","60-80 pounds (male), 40-60 pounds (female)",14-16 years,Barks When Necessary,high energy,large size
Belgian Sheepdog,Herding Group,"Serious-minded, watchful, and very bright and trainable","Very Active; A breed built for hard work, and plenty of it",Better with Supervision,With Supervision,Seasonal,Weekly,Eager To Please,"24-26 inches (male), 22-24 inches (female)","55-75 pounds (male), 45-60 pounds (female)",12-14 years,Barks When Necessary,high energy,medium size
Belgian Tervuren,Herding Group,"Smart, self-assured, very trainable; affectionate and possessive with loved ones",Very Active; Lots of hard work and challenging play is a Terv’s idea of heaven,Better with Supervision,With Supervision,Seasonal,Weekly,Eager To Please,"24-26 inches (male), 22-24 inches (female)","55-75 pounds (male), 45-60 pounds (female)",12-14 years,Barks When Necessary,high energy,medium size
Bernese Mountain Dog,Working Group,Good-natured and calm.,"They love outdoor activities, like hiking or even pulling young children in a cart.",Yes,Yes,Lots Of Shedding,Weekly,Eager To Please,"25-28 inches (male), 23-26 inches (female)","86-110 pounds (male), 79-110 pounds (female)",6-8 years,Barks When Necessary,medium energy,large size
Bichon Frise,Non Sporting Group,"Playful, curious, and peppy","Somewhat Active; Short bursts of energy are balanced with cuddly, loveable periods",Yes,Yes,"Infrequent, Hypoallergenic",Daily,Responds Well,9.5-11.5 inches,12-18 pounds,14-15 years,Barks When Necessary,medium energy,small size
Biewer Terrier,Not found!,"Playful, curious, and peppy","Somewhat Active; Short bursts of energy are balanced with cuddly, loveable periods",Yes,Yes,"Infrequent, Hypoallergenic",Daily,Responds Well,9.5-11.5 inches,12-18 pounds,14-15 years,Barks When Necessary,low energy,small size
Black and Tan Coonhound,Hound Group,"Easygoing, friendly, bright; mellow by the fireside, rugged and brave on the trail","Somewhat Active; Big, athletic hunters who work nights, B&Ts need regular exercise between naps",Yes,Yes,Seasonal,Occasional,Independent,"25-27 inches (male), 23-25 inches (female)",65-110 pounds,10-12 years,Likes To Be Vocal,medium energy,medium size
Black Russian Terrier,Working Group,"Smart, confident, courageous, sometimes stubborn; protective of loved ones, aloof with strangers","Somewhat Active; A calm housemate, but boisterous and athletic at play; a great snow dog",Better with Supervision,With Supervision,Seasonal,Weekly,Responds Well,"27-30 inches (male), 26-29 inches (female)",80-130 pounds,10-12 years,Barks When Necessary,medium energy,large size
Bloodhound,Hound Group,"Sweet, easygoing, friendly to all; intense when working","Somewhat Active; a mush around the house, but relentless and stubborn on the trail",Better with Supervision,With Supervision,Frequent,Occasional,Responds Well,"25-27 inches (male), 23-25 inches (female)","90-110 pounds (male), 80-100 pounds (female)",7-9 years,Barks When Necessary,medium energy,large size
Bluetick Coonhound,Hound Group,"A smart and devoted charmer at home; a fearless, tenacious pursuer on the trail","Somewhat Active; Blueticks might enjoy napping, but off-the-charts prey drive must be channeled",Better with Supervision,Yes,Seasonal,Occasional,Responds Well,"22-27 inches (male), 21-25 inches (female)","55-80 pounds (male), 45-65 pounds (female)",11-12 years,Likes To Be Vocal,high energy,medium size
Border Collie,Herding Group,Remarkably smart workaholics; not averse to a good cuddle.,"The uncanny intelligence, athleticism, and trainability of Border Collies have a perfect outlet in agility work.",Better with Older Children,Yes,Seasonal,Weekly,Eager To Please,"19-22 inches (male), 18-21 inches (female)","30-45 pounds (male), 27-42 pounds (female)",10-17 years,Barks When Necessary,high energy,medium size
Border Terrier,Terrier Group,"Plucky, happy, affectionate","Very Active; Quick and agile, Borders need exercise and time to explore",Yes,With Supervision,Seasonal,Occasional,Responds Well,12-15 inches,"13-15.5 pounds (male), 11.5-14 pounds (female)",12-15 years,Barks When Necessary,medium energy,small size
Borzoi,Hound Group,"Loyal, affectionate, regally dignified; a charming but independent-minded canine nobleman","Somewhat Active; This awesomely fast sprinter needs running room; at home, Borzoi are quiet and catlike",Better with Older Children,With Supervision,Seasonal,Occasional,Independent,"28 inches & up (male), 26 inches & up (female)","75-105 pounds (male), 60-85 pounds (female)",9-14 years,Quiet,medium energy,large size
Boston Terrier,Non Sporting Group,"Friendly, bright, amusing, and adaptable.",Their many charms have made Boston Terriers a true American favorite for more than a hundred years.,Yes,With Supervision,Infrequent,Occasional,Eager To Please,15-17 inches,10-25 pounds,13-15 years,Quiet,medium energy,small size
Bouvier des Flandres,Herding Group,"Strong-willed, even-tempered, courageous; affectionate with family, intimidating to intruders","Somewhat Active; Big, smart dogs, Bouviers like long walks and a job to do",Better with Older Children,With Supervision,Seasonal,Weekly,Responds Well,"24.5-27.5 inches (male), 23.5-26.5 inches (female)",70-110 pounds,10-12 years,Barks When Necessary,high energy,large size
Boxer,Working Group,"Fun-loving, bright, active and loyal","Very Active; Boxers are strong, quick, busy dogs who need plenty of exercise; they enjoy challenges, both physical and mental",Yes,With Supervision,Seasonal,Occasional,Responds Well,"23-25 inches (male), 21.5-23.5 inches (female)","65-80 pounds (male), females are about 15 pounds less than male",10-12 years,Barks When Necessary,high energy,medium size
Briard,Herding Group,A whole lot of dog,"Somewhat Active; Vigorous exercise and, ideally, a job to do are what they live for",Better with Supervision,With Supervision,Infrequent,Weekly,Independent,"23-27 inches (male), 22-25.5 inches (female)",55-100 pounds,12 years,Barks When Necessary,medium energy,medium size
Brittany,Sporting Group,"Bright, upbeat, fun-loving at home; a tireless, enthusiastic worker afield","Very Active; Energetic and alert, Brittanys need plenty of exercise—preferably along their favorite human",Better with Supervision,With Supervision,Seasonal,Weekly,Eager To Please,17.5-20.5 inches,30-40 pounds,12-14 years,Barks When Necessary,high energy,medium size
Broholmer,Not found!,"Bright, upbeat, fun-loving at home; a tireless, enthusiastic worker afield","Very Active; Energetic and alert, Brittanys need plenty of exercise—preferably along their favorite human",Better with Supervision,With Supervision,Seasonal,Weekly,Eager To Please,17.5-20.5 inches,30-40 pounds,12-14 years,Barks When Necessary,medium energy,large size
Brussels Griffon,Toy Group,"Alert, curious, and loyal","Somewhat Active; Griffs are spunky and love to play and to share long, daily walks with their owners",Better with Supervision,With Supervision,Seasonal,Weekly,Responds Well,7-10 inches,8-10 pounds,12-15 years,Barks When Necessary,medium energy,small size
Bull Terrier,Terrier Group,"Playful and charming; sometimes mischievous, always loyal",Very Active; Lots of exercise is needed to prevent boredom and the problem behaviors that come with it,Better with Supervision,Not Recommended,Seasonal,Occasional,Responds Well,21-22 inches,50-70 pounds,12-13 years,Barks When Necessary,high energy,medium size
Bulldog,Non Sporting Group,"Calm, courageous, and friendly; dignified but amusing.","Not Very Active; Bulldogs won't beg to be exercised, but they require regular walks and the occasional romp.",Yes,Yes,Seasonal,Weekly,Responds Well,14-15 inches,"50 pounds (male), 40 pounds (female)",8-10 years,Quiet,medium energy,medium size
Bullmastiff,Working Group,"Calm, courageous, and friendly; dignified but amusing.","Not Very Active; Bulldogs won't beg to be exercised, but they require regular walks and the occasional romp.",Yes,Yes,Seasonal,Weekly,Responds Well,14-15 inches,"50 pounds (male), 40 pounds (female)",8-10 years,Quiet,medium energy,large size
Cairn Terrier,Terrier Group,"Cheerful, alert, busy and independent-minded","Very Active; Cairns are active, curious dogs who appreciate lots of long walks and places to explore",Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,"10 inches (male), 9.5 inches (female)","14 pounds (male), 13 pounds (female)",13-15 years,Barks When Necessary,medium energy,small size
Cane Corso,Working Group,"Smart, trainable, and noble of bearing; assertive and confident, Corsi are peerless protectors.","Corsi are smart, trainable, eager to please, versatile, and docile and intensely loyal with their humans.",Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,"25-27.5 inches (male), 23.5-26 inches (female)",Proportionate to height,9-12 years,Barks When Necessary,medium energy,large size
Cardigan Welsh Corgi,Herding Group,"Loyal, affectionate, and smart; even-tempered, never shy","Very Active; Athletic, rugged herders with a love for the outdoors, Cardigans thrive on mental and physical activity",Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,10.5-12.5 inches,"30-38 pounds (male), 25-34 pounds (female)",12-15 years,Barks When Necessary,medium energy,medium size
Carolina Dog,Hound Group,"Loyal, affectionate, and smart; even-tempered, never shy","Very Active; Athletic, rugged herders with a love for the outdoors, Cardigans thrive on mental and physical activity",Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,10.5-12.5 inches,"30-38 pounds (male), 25-34 pounds (female)",12-15 years,Barks When Necessary,medium energy,medium size
Catahoula Leopard Dog,Herding Group,"Loyal, affectionate, and smart; even-tempered, never shy","Very Active; Athletic, rugged herders with a love for the outdoors, Cardigans thrive on mental and physical activity",Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,10.5-12.5 inches,"30-38 pounds (male), 25-34 pounds (female)",12-15 years,Barks When Necessary,high energy,medium size
Caucasian Shepherd Dog,Not found!,"Loyal, affectionate, and smart; even-tempered, never shy","Very Active; Athletic, rugged herders with a love for the outdoors, Cardigans thrive on mental and physical activity",Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,10.5-12.5 inches,"30-38 pounds (male), 25-34 pounds (female)",12-15 years,Barks When Necessary,medium energy,large size
Cavalier King Charles Spaniel,Toy Group,"Affectionate, graceful, and gentle.","Somewhat Active; Cavies do not require an exhaustive workout, they're happy with a good walk every day.",Yes,Yes,Seasonal,Occasional,Eager To Please,12-13 inches,13-18 pounds,12-15 years,Barks When Necessary,medium energy,small size
Cesky Terrier,Terrier Group,"Feisty and tenacious at work, but a bit more laid back and trainable than the usual terrier","Somewhat Active; Playful, curious dogs who enjoy a good old-fashioned romp",Yes,With Supervision,Seasonal,Occasional,Responds Well,10-13 inches,14-24 pounds,12-15 years,Barks When Necessary,medium energy,small size
Chesapeake Bay Retriever,Sporting Group,"Bright, sensitive, perceptive; affectionate and family-oriented","Somewhat Active; Mellow around the house, rugged and indefatigable at work; Chessies love outdoor exercise, especially swimming",Better with Supervision,With Supervision,Seasonal,Weekly,Responds Well,"23-26 inches (male), 21-24 inches (female)","65-80 pounds (male), 55-70 pounds (female)",10-13 years,Barks When Necessary,high energy,large size
Chihuahua,Toy Group,"Graceful, charming, and sassy.","Though Chihuahuas like to run and play, they are mostly an indoor pet, and do well in apartments.",Better with Older Children,With Supervision,Seasonal,Occasional,Independent,6-9 inches,3-6 pounds,12-20 years,Barks When Necessary,medium energy,small size
Chinese Crested,Toy Group,"Lively, alert, and affectionate.","Somewhat Active; Slim and graceful, Cresteds enjoy brisk walks; their favorite indoor exercise is following their humans from room to room.",Better with Supervision,With Supervision,"Infrequent, Hypoallergenic",Weekly,Responds Well,11-13 inches,8-12 pounds,13-18 years,Barks When Necessary,medium energy,small size
Chinese Shar-Pei,Non Sporting Group,"Steadfastly devoted to loved ones, but standoffish and lordly toward strangers",Somewhat Active; Not a busy dog; a good walk or two or day will suffice,Better with Older Children,Not Recommended,Seasonal,Occasional,Independent,18-20 inches,45-60 pounds,8-12 years,Barks When Necessary,medium energy,medium size
Chinook,Working Group,"Patient, smart, willing to please; a devoted family dog","Somewhat Active; Not particularly busy dogs, but they need consistent exercise to stay in proper hard condition",Yes,Yes,Seasonal,Weekly,Eager To Please,"24-26 inches (male), 22-24 inches (female)","55-90 pounds (male), 50-65 pounds (female)",12-15 years,Barks When Necessary,medium energy,large size
Chow Chow,Non Sporting Group,"Serious-minded, dignified, bright, and aloof","Not Very Active; Not particularly busy dogs, a couple of good walks a day will do",Better with Older Children,Not Recommended,Seasonal,Weekly,Independent,17-20 inches,45-70 pounds,8-12 years,Quiet,medium energy,medium size
Cirneco dell’Etna,Hound Group,"Serious-minded, dignified, bright, and aloof","Not Very Active; Not particularly busy dogs, a couple of good walks a day will do",Better with Older Children,Not Recommended,Seasonal,Weekly,Independent,17-20 inches,45-70 pounds,8-12 years,Quiet,medium energy,medium size
Clumber Spaniel,Sporting Group,"Mellow, gentlemanly, amiable; dignified but always amusing","Somewhat Active; Clumbers enjoy long walks and sniffing around; swimming, fetching, and carrying are favorite pastimes",Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,"18-20 inches (male), 17-19 inches (female)","70-85 pounds (male), 55-70 pounds (female)",10-12 years,Quiet,medium energy,large size
Cocker Spaniel,Sporting Group,"Happy, smart, gentle","Very Active; Energetic sporting dogs, Cockers love their playtime and brisk walks",Yes,Yes,Seasonal,Weekly,Eager To Please,"14.5-15.5 inches (male), 13.5-14.5 inches (female)","25-30 pounds (male), 20-25 pounds (female)",10-14 years,Barks When Necessary,medium energy,medium size
Coton de Tulear,Non Sporting Group,"Bright, happy-go-lucky, endlessly charming; born to love and to be loved","Somewhat Active; Favorite sports include clowning, cavorting, and following an adored human around the house",Yes,Yes,"Seasonal, Hypoallergenic",Weekly,Responds Well,"10-11 inches (male), 9-10 inches (female)","9-15 pounds (male), 8-13 pounds (female)",15-19 years,Barks When Necessary,medium energy,small size
Curly-Coated Retriever,Sporting Group,"Confident, proud, wickedly smart; a thinking person’s retriever","Very Active; They live for outdoor exercise, like swimming; bored, underemployed Curlies are a handful",Yes,With Supervision,Seasonal,Occasional,Responds Well,"25-27 inches (male), 23-25 inches (female)",60-95 pounds,10-12 years,Barks When Necessary,medium energy,medium size
Czechoslovakian Vlcak,Not found!,"Confident, proud, wickedly smart; a thinking person’s retriever","Very Active; They live for outdoor exercise, like swimming; bored, underemployed Curlies are a handful",Yes,With Supervision,Seasonal,Occasional,Responds Well,"25-27 inches (male), 23-25 inches (female)",60-95 pounds,10-12 years,Barks When Necessary,medium energy,small size
Dachshund,Hound Group,Go look up the word “spunky.” We’ll wait. Did you see a photo of a Dachsie? We thought so.,"Somewhat Active; A moderately active dog, but his intelligence means he gets bored easily, so it’s good to keep him busy",Better with Supervision,With Supervision,Seasonal,Occasional,Responds Well,"8-9 inches (standard), 5-6 inches (miniature)","16-32 pounds (standard), 11 pounds & under (miniature)",12-16 years,Barks When Necessary,medium energy,small size
Dalmatian,Non Sporting Group,A well-bred Dal is stable and outgoing; dignified but never shy,"Very Active; Athletic, durable dogs created for long jaunts, Dals need their exercise",Better with Supervision,With Supervision,Frequent,Occasional,Responds Well,19-24 inches,45-70 pounds,11-13 years,Barks When Necessary,high energy,medium size
Dandie Dinmont Terrier,Terrier Group,"Independent, proud, smart; affectionate at home, bold and tenacious in the field","Somewhat Active; Not a frantic terrier, Dandies are fine with a couple of good walks a day and some vigorous play",Better with Supervision,Not Recommended,Infrequent,Weekly,Responds Well,8-11 inches,18-24 pounds,12-15 years,Barks When Necessary,medium energy,small size
Danish-Swedish Farmdog,Not found!,"Independent, proud, smart; affectionate at home, bold and tenacious in the field","Somewhat Active; Not a frantic terrier, Dandies are fine with a couple of good walks a day and some vigorous play",Better with Supervision,Not Recommended,Infrequent,Weekly,Responds Well,8-11 inches,18-24 pounds,12-15 years,Barks When Necessary,low energy,small size
Doberman Pinscher,Working Group,"Alert, fearless, loyal, and highly trainable",Very Active; Dobes are energetic dogs who need regular exercise to keep their magnificent physique,Yes,With Supervision,Seasonal,Occasional,Eager To Please,"26-28 inches (male), 24-26 inches (female)","75-100 pounds (male), 60-90 pounds (female)",10-12 years,Barks When Necessary,high energy,medium size
Dogo Argentino,Miscellaneous,"Loyal, trustworthy, and, above all else, courageous",Somewhat Active; Dogos require vigorous exercise to stay at their physical and temperamental best,Better with Supervision,With Supervision,Infrequent,Occasional,Responds Well,"24-27 inches (male), 23.5-26 inches (female)",80-100 pounds,9-15 years,Barks When Necessary,medium energy,large size
Dogue de Bordeaux,Working Group,"Loyal, affectionate, and protective; courageous but not aggressive",Not Very Active; A couple of good walks a day and a backyard romp are sufficient,Better with Supervision,Not Recommended,Seasonal,Occasional,Responds Well,"23.27 inches (male), 23-26 inches (female)","110 pounds & up (male), 99 pounds & up (female)",5-8 years,Barks When Necessary,medium energy,large size
Drentsche Patrijshond,Not found!,"Loyal, affectionate, and protective; courageous but not aggressive",Not Very Active; A couple of good walks a day and a backyard romp are sufficient,Better with Supervision,Not Recommended,Seasonal,Occasional,Responds Well,"23.27 inches (male), 23-26 inches (female)","110 pounds & up (male), 99 pounds & up (female)",5-8 years,Barks When Necessary,medium energy,medium size
Dutch Shepherd,Herding Group,"Loyal, affectionate, and protective; courageous but not aggressive",Not Very Active; A couple of good walks a day and a backyard romp are sufficient,Better with Supervision,Not Recommended,Seasonal,Occasional,Responds Well,"23.27 inches (male), 23-26 inches (female)","110 pounds & up (male), 99 pounds & up (female)",5-8 years,Barks When Necessary,high energy,medium size
English Cocker Spaniel,Sporting Group,"Merry and responsive, alive with energy","Somewhat Active; Upbeat outdoors, mellow indoors, ECs are happy to flush a bird or snooze at your feet",Yes,Yes,Seasonal,Weekly,Eager To Please,"16-17 inches (male), 15-16 inches (female)","28-34 pounds (male), 26-32 pounds (female)",12-14 years,Barks When Necessary,medium energy,medium size
English Foxhound,Hound Group,The prototypical pack hound,Very Active; These galloping athletes require lots of exercise and running room,Yes,Yes,Seasonal,Occasional,Responds Well,24 inches,60-75 pounds,10-13 years,Likes To Be Vocal,medium energy,small size
English Setter,Sporting Group,"Friendly, merry, and mellow; called the “gentleman of the dog world”","Somewhat Active; Game and boisterous at play and work, a joy to live with at home",Better with Supervision,With Supervision,Seasonal,Weekly,Eager To Please,"25-27 inches (male), 23-25 inches (female)","65-80 pounds (male), 45-55 pounds (female)",12 years,Barks When Necessary,medium energy,small size
English Springer Spaniel,Sporting Group,"Friendly, playful, obedient at home; hardworking and steady in the field","Very Active; Built for long days as hunters’ companions, Springers need regular exercise for optimum mental and physical health",Better with Supervision,With Supervision,Seasonal,Occasional,Eager To Please,"20 inches (male), 19 inches (female)","50 pounds (male), 40 pounds (female)",12-14 years,Barks When Necessary,medium energy,medium size
English Toy Spaniel,Toy Group,"A true spaniel—affectionate, alert, and merry",Somewhat Active; Cavorting and curious at play; well-behaved and dignified at home,Yes,Yes,Seasonal,Weekly,Responds Well,9-10 inches,8-14 pounds,10-12 years,Quiet,medium energy,small size
Field Spaniel,Sporting Group,"Sweet, sensitive, fun-loving, and smart; a real people-pleaser",Somewhat Active; Tranquil around the house but vigorous and game for anything when at play,Yes,With Supervision,Seasonal,Occasional,Responds Well,"18 inches (male), 17 inches (female)",35-50 pounds,12-13 years,Barks When Necessary,medium energy,medium size
Finnish Spitz,Non Sporting Group,"Eager, courageous, friendly, and faithful","Very Active; Lively and athletic, Finkies love running, romping, and exploring",Yes,With Supervision,Seasonal,Occasional,Responds Well,"17.5-20 inches (male), 15.5-18 inches (female)","25-33 pounds (male), 20-28 pounds (female)",13-15 years,Likes To Be Vocal,high energy,medium size
Flat-Coated Retriever,Sporting Group,"Happy, confident, intelligent, and forever young","Very Active; Highly energetic gundogs, Flat-Coats need lots of outdoorsy exercise",Yes,Yes,Seasonal,Occasional,Eager To Please,"23-24.5 inches (male), 22-23.5 inches (female)",60-70 pounds,8-10 years,Barks When Necessary,high energy,large size
French Bulldog,Non Sporting Group,"Playful, smart, adaptable, and completely irresistible","Not Very Active; Frenchies are easygoing, not terribly athletic; brisk walks will keep them trim",Yes,With Supervision,Seasonal,Occasional,Responds Well,11-13 inches,under 28 pounds,10-12 years,Quiet,medium energy,small size
